count,signal,attention,meditation,delta,theta,lalpha,halpha,lbeta,hbeta,lgamma,hgamma
1510,26,27,40,93.9415969848633,5.9835000038147,0.66540002822876,0.575399994850159,0.585600018501282,0.241899996995926,5.92000000178814E-2,4.74000014364719E-2
1511,0,10,40,136.183303833008,1.30110001564026,0.244000002741814,0.180299997329712,0.24099999666214,7.22000002861023E-2,2.52999998629093E-2,0.229499995708466
1512,0,20,40,2.26099991798401,1.03919994831085,0.385600000619888,0.34909999370575,0.363299995660782,0.218500003218651,0.104800000786781,1.20940005779266
1513,0,23,54,2.8371000289917,1.97309994697571,1.68420004844666,0.951600015163422,0.920000016689301,0.311800003051758,0.150700002908707,4.97249984741211
1514,0,43,69,3.73639988899231,0.796000003814697,1.55920004844666,1.26760005950928,0.924399971961975,0.737999975681305,0.534200012683868,5.22359991073608
1515,0,60,70,23.5955009460449,4.36709976196289,0.406399995088577,2.11269998550415,2.29760003089905,1.43910002708435,0.253600001335144,5.51340007781982
1516,0,47,64,13.4106998443604,11.1117000579834,1.50209999084473,1.35490000247955,0.349000006914139,0.490599989891052,0.179900005459785,0.794300019741058
1517,0,60,44,1.40090000629425,2.65019989013672,0.439300000667572,0.340799987316132,2.14229989051819,0.940500020980835,0.237200006842613,6.10760021209717
1518,0,56,44,2.81900000572205,2.71810007095337,2.09010004997253,2.03550004959106,0.493699997663498,1.02059996128082,0.23309999704361,5.17089986801147
1519,0,56,43,3.06929993629456,6.23190021514893,2.33109998703003,0.548600018024445,1.56900000572205,2.1175000667572,0.407099992036819,4.46159982681274
1520,0,63,51,28.6124992370605,21.9806995391846,9.12559986114502,3.00390005111694,1.72269999980927,2.23850011825562,0.343400001525879,1.4268000125885
1521,0,40,64,83.2762985229492,2.23399996757507,0.80620002746582,0.368400007486343,0.174400001764297,9.26000028848648E-2,7.15000033378601E-2,0.355699986219406
1522,0,30,57,57.0752983093262,8.31820011138916,4.08109998703003,2.54530000686646,2.20619988441467,0.947700023651123,0.343600004911423,4.72510004043579
1523,26,30,57,129.587997436523,2.67149996757507,0.614199995994568,0.517000019550323,0.221699997782707,0.118100002408028,3.84999997913837E-2,5.07000014185905E-2
